Rough CF (Hz),OBW (Hz),Channel Power (dBm),Peak Power (dBm),isBT
2411975000,750000,-44.62052826,-51.05511475,1
2407975000,750000,-44.50848039,-51.09144211,1
2409975000,750000,-44.66617944,-51.14936066,1
2411975000,750000,-44.67854503,-51.21554947,1
2407975000,750000,-44.44924562,-51.06214523,1
2409975000,750000,-44.71298524,-51.12055206,1
2411975000,750000,-44.77285741,-51.17069244,1
2407975000,750000,-44.42561359,-50.99373245,1
2409975000,750000,-44.59860261,-50.9719162,1
2409975000,750000,-44.82858208,-51.30521774,1
2411975000,750000,-44.68119197,-51.19591522,1
2407975000,750000,-44.52684707,-51.08070755,1
2412275000,14450000,-59.49015198,-82.17876434,0
2411975000,750000,-44.84039415,-51.3045578,1
2407975000,750000,-44.46314596,-50.97412491,1
2409975000,750000,-44.7795194,-51.20658112,1
2411975000,750000,-44.78692833,-51.14421463,1
2407975000,750000,-44.71809374,-51.26808548,1
2409975000,750000,-44.77550453,-51.30958939,1
2411975000,750000,-44.68479293,-51.1616745,1
2407975000,750000,-44.64848297,-51.20612717,1
2409975000,750000,-44.91735694,-51.46758652,1
2411975000,750000,-44.957386,-51.48805618,1
2407975000,750000,-44.61249043,-51.20119476,1
2409975000,750000,-44.89448633,-51.46887207,1
2411975000,750000,-45.00209725,-51.55207062,1
2407975000,750000,-44.68330278,-51.06924057,1
2409975000,750000,-44.78401883,-51.30968475,1
2407975000,750000,-44.71169112,-51.14037323,1
2409975000,750000,-44.91209543,-51.38280869,1
2411975000,750000,-44.93346273,-51.42301178,1
2407975000,750000,-44.67340313,-51.16944122,1
2411975000,750000,-45.11098135,-51.6504631,1
2407975000,750000,-44.62001005,-51.03793335,1
2409975000,750000,-44.84046126,-51.25175095,1
2411975000,750000,-44.95954148,-51.49692535,1
2407975000,750000,-44.75302135,-51.15464783,1
2409975000,750000,-45.03177032,-51.53773499,1
2411975000,750000,-44.87128939,-51.31655121,1
2407975000,750000,-44.72486179,-51.14323044,1
2409975000,750000,-44.97737442,-51.39557266,1
2411975000,750000,-45.01398712,-51.46701813,1
2407975000,750000,-44.63622204,-51.05200958,1
2409975000,750000,-44.94831057,-51.49660492,1
2411975000,750000,-45.14383236,-51.72927856,1
2407975000,750000,-44.82678505,-51.26193237,1
2409975000,750000,-45.00393801,-51.43570709,1
2411975000,750000,-44.91466099,-51.31041718,1
2407975000,750000,-44.78725093,-51.27075195,1
2409975000,750000,-45.03957497,-51.48633575,1
2411975000,750000,-45.0934722,-51.5072403,1
2407975000,750000,-44.82581525,-51.25369263,1
2409975000,750000,-45.05180927,-51.60552216,1
2411975000,750000,-45.06901297,-51.57600403,1
2409975000,750000,-45.0883427,-51.49356842,1
2411975000,750000,-45.23236007,-51.8386116,1
2407975000,750000,-44.79553699,-51.33226776,1
2411975000,750000,-45.13791254,-51.65322113,1
2407975000,750000,-44.88517632,-51.36603546,1
2411975000,750000,-45.01785408,-51.45661163,1
2407975000,750000,-44.93546182,-51.32461548,1
2411975000,750000,-45.14299765,-51.5160141,1
2409975000,750000,-45.02360875,-51.63503265,1
2411975000,750000,-45.25861241,-51.85848999,1
2407975000,750000,-44.99525098,-51.55435562,1
2409975000,750000,-45.20128099,-51.64123535,1
2411975000,750000,-45.05821223,-51.44280243,1
2407975000,750000,-44.94643566,-51.3766861,1
2409975000,750000,-45.19318628,-51.79942322,1
2407975000,750000,-44.87072153,-51.34406281,1
2409975000,750000,-45.07397627,-51.52147293,1
2411975000,750000,-45.24661384,-51.76921463,1
2407975000,750000,-45.0254809,-51.63521576,1
2412000000,700000,-45.11800389,-51.55647278,1
2407975000,750000,-44.9586267,-51.40958405,1
2409975000,750000,-45.21961025,-51.65569687,1
2411975000,750000,-45.2406475,-51.74701309,1
2407975000,750000,-44.8930121,-51.4899292,1
2409975000,750000,-45.18983096,-51.58169556,1
2411975000,750000,-45.17001646,-51.5213356,1
2407975000,750000,-44.97309905,-51.41225815,1
2409975000,750000,-45.10208074,-51.53224945,1
2411975000,750000,-45.24087888,-51.82207108,1
2407975000,750000,-45.06184255,-51.6465683,1
2409975000,750000,-45.31876433,-51.93735123,1
2413900000,12400000,-30.46405187,-52.83088303,0
2412000000,700000,-40.68421879,-47.02297974,1
2429000000,700000,-37.57247568,-44.03474808,1
2409975000,750000,-41.38412265,-47.6951561,1
2411975000,750000,-40.71878085,-47.18916321,1
2429000000,700000,-37.60521959,-43.95341492,1
2409975000,750000,-41.41849706,-47.7757988,1
2428975000,750000,-37.49512659,-44.0602684,1
2409975000,750000,-41.45731105,-47.90600204,1
2411975000,750000,-40.75040424,-47.20290756,1
2429000000,700000,-37.54279467,-43.91094208,1
2409975000,750000,-41.43022023,-47.81927109,1
2411975000,750000,-40.75833577,-47.21512604,1
2428975000,750000,-37.52253158,-43.97572327,1
2431000000,700000,-37.78996201,-44.38491058,1
2411975000,750000,-40.75372519,-47.1090126,1
2429000000,700000,-37.56017351,-43.82481003,1
2409975000,750000,-41.52193039,-47.96768951,1
2411975000,750000,-40.77860377,-47.24863434,1
2428975000,750000,-37.47455913,-43.91326904,1
2431050000,600000,-39.06501923,-47.26771927,1
2411975000,750000,-40.7624936,-47.16954041,1
2428975000,750000,-37.52194739,-43.95303345,1
2431000000,700000,-37.7224626,-44.2481041,1
2411975000,750000,-40.81644893,-47.13417816,1
2429000000,700000,-37.56190775,-43.93806458,1
2430975000,750000,-37.67620743,-44.22210693,1
2411975000,750000,-40.83150388,-47.36114502,1
2429000000,700000,-37.56323062,-44.00965881,1
2431000000,700000,-37.76161561,-44.06729889,1
2411975000,750000,-40.8178509,-47.28474045,1
2429000000,700000,-37.55267065,-43.9797287,1
2431000000,700000,-37.77810574,-44.24409485,1
2411975000,750000,-40.75315465,-47.14704132,1
2429000000,700000,-37.52628442,-43.98976898,1
2431000000,700000,-37.71888322,-44.18335724,1
2429000000,700000,-37.50931821,-43.87685394,1
2431000000,700000,-37.66949049,-44.12431335,1
2411975000,750000,-40.71540123,-47.11412811,1
2429000000,700000,-37.47795734,-43.85234833,1
2409975000,750000,-41.49777642,-47.95674133,1
2411975000,750000,-40.75727556,-47.28283691,1
2428975000,750000,-37.44710277,-44.05223083,1
2430975000,750000,-37.61944626,-44.02435684,1
2411975000,750000,-40.72921612,-47.24551392,1
2428975000,750000,-37.39768039,-43.94346237,1
2409975000,750000,-41.51209714,-48.08278656,1
2409700000,10800000,-31.42935947,-53.31423187,0
2411975000,750000,-40.77111842,-47.12077713,1
2429000000,700000,-37.42363989,-43.85112762,1
2430975000,750000,-37.59000859,-44.18719864,1
2411975000,750000,-40.7686584,-47.23453903,1
2429000000,700000,-37.43171654,-43.86979675,1
2431000000,700000,-37.65675285,-44.16647339,1
2411975000,750000,-40.79477562,-47.3061676,1
2428975000,750000,-37.40191307,-43.86197662,1
2430975000,750000,-37.59227839,-43.96285629,1
2411975000,750000,-40.83252382,-47.46160507,1
2429000000,700000,-37.47469706,-43.84697342,1
2430975000,750000,-37.59842272,-44.11398315,1
2412000000,700000,-40.85549803,-47.31647491,1
2428975000,750000,-37.42877802,-43.85152817,1
2411975000,750000,-40.817806,-47.21425629,1
2428975000,750000,-37.48273447,-43.91707993,1
2409975000,750000,-41.599957,-48.09941101,1
2411975000,750000,-40.877821,-47.38199234,1
